epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,24211.4,0.9549,0.84163,1.40004,0.71462,0.79081,0.78325,0.52396,1.0927,0.8093,1.76874,0.000742625,0.000742625,0.000742625
43,24243.6,0.90486,0.81408,1.39863,0.79347,0.78317,0.82058,0.53518,1.09876,0.82802,1.75703,0.00073025,0.00073025,0.00073025
44,24275.5,0.92339,0.80078,1.39009,0.81631,0.7673,0.82704,0.54745,1.06849,0.78989,1.75526,0.000717875,0.000717875,0.000717875
45,24307.8,0.95791,0.82304,1.42051,0.78462,0.79052,0.82181,0.54061,1.05436,0.80056,1.73161,0.0007055,0.0007055,0.0007055
46,24339.5,0.93081,0.79275,1.39518,0.78435,0.79074,0.81354,0.52737,1.09435,0.84886,1.77253,0.000693125,0.000693125,0.000693125
47,24372,0.90337,0.76914,1.36172,0.76738,0.78068,0.81594,0.53961,1.06088,0.8026,1.7191,0.00068075,0.00068075,0.00068075
48,24404.5,0.92758,0.78388,1.37417,0.82673,0.77312,0.83508,0.55376,1.09609,0.82397,1.81531,0.000668375,0.000668375,0.000668375
49,24437.1,0.92493,0.76858,1.38245,0.75799,0.7771,0.80783,0.5436,1.07532,0.76055,1.78847,0.000656,0.000656,0.000656
50,24469.2,0.91533,0.76322,1.37849,0.71398,0.80225,0.77597,0.53541,1.06722,0.79571,1.74105,0.000643625,0.000643625,0.000643625
51,24502.1,0.8814,0.76405,1.37008,0.79085,0.78543,0.83421,0.54468,1.07993,0.75933,1.75538,0.00063125,0.00063125,0.00063125
52,24534.1,0.86131,0.77112,1.35208,0.85798,0.78432,0.84237,0.5485,1.08187,0.73719,1.77066,0.000618875,0.000618875,0.000618875
53,24566.1,0.87213,0.73985,1.3648,0.7604,0.83124,0.82864,0.54356,1.07729,0.75212,1.73838,0.0006065,0.0006065,0.0006065
54,26102,0.92556,0.76996,1.39612,0.81549,0.78497,0.82597,0.55063,1.05797,0.73772,1.71928,0.000594125,0.000594125,0.000594125
55,26125.7,0.91815,0.77974,1.36633,0.88017,0.75958,0.82364,0.54425,1.07107,0.74426,1.74366,0.00058175,0.00058175,0.00058175
56,26149.2,0.90013,0.76172,1.37688,0.76534,0.81467,0.82697,0.55001,1.07203,0.77431,1.7962,0.000569375,0.000569375,0.000569375
57,26172.7,0.86784,0.74315,1.35522,0.84654,0.78793,0.84798,0.5669,1.0491,0.72511,1.72613,0.000557,0.000557,0.000557
58,26195.9,0.88741,0.73777,1.34126,0.85396,0.76674,0.83664,0.53715,1.09268,0.75847,1.76524,0.000544625,0.000544625,0.000544625
59,26219.2,0.8736,0.71841,1.35414,0.82908,0.748,0.81979,0.54641,1.06107,0.7384,1.75098,0.00053225,0.00053225,0.00053225
60,26242.3,0.88207,0.73952,1.36396,0.86359,0.7722,0.83943,0.55033,1.07336,0.72334,1.75368,0.000519875,0.000519875,0.000519875
61,26265.5,0.89989,0.73571,1.35509,0.84163,0.78629,0.84616,0.54076,1.11127,0.74207,1.80456,0.0005075,0.0005075,0.0005075
62,26288.8,0.88564,0.75116,1.35612,0.7655,0.81145,0.83864,0.56595,1.08599,0.69836,1.76506,0.000495125,0.000495125,0.000495125
63,26312.1,0.87082,0.72343,1.35132,0.84937,0.76978,0.83169,0.55168,1.06266,0.69886,1.74462,0.00048275,0.00048275,0.00048275
64,26335.3,0.87177,0.69527,1.36067,0.86053,0.75994,0.83815,0.54959,1.06398,0.72402,1.75517,0.000470375,0.000470375,0.000470375
65,26358.5,0.87697,0.6929,1.34513,0.84088,0.78591,0.85764,0.56473,1.06168,0.69249,1.76227,0.000458,0.000458,0.000458
66,26381.8,0.86697,0.69318,1.34944,0.81389,0.7693,0.83251,0.54521,1.07485,0.70887,1.76155,0.000445625,0.000445625,0.000445625
67,26405.1,0.83839,0.66876,1.32418,0.80187,0.77569,0.83901,0.55886,1.0531,0.7378,1.73626,0.00043325,0.00043325,0.00043325
